Article,Price,Image,Quantity,Categories
Toothpaste,6.99,Amazon2.0\images\toothpaste.jpg,9,[Pharmacy]
Video Games Controller,79.99,Amazon2.0\images\controller.jpg,7,[Video-games]
Toilet Paper,7.99,Amazon2.0\images\toiletpaper.jpg,14,[Pharmacy]
Toy Top,5.99,Amazon2.0\images\toytop.jpg,17,[Toys]
Toy Truck,19.99,Amazon2.0\images\toytruck.jpg,12,[Toys]
TV,749.99,Amazon2.0\images\tv.jpg,6,[Tech]
Twister,11.99,Amazon2.0\images\twister.jpg,11,[Toys]
Vase,12.99,Amazon2.0\images\vase.jpg,9,[Furnitures]
Video Games Console,649.99,console.jpg,6,[Video-games, Tech]
Watch,130000,Amazon2.0\images\watch.jpg,3,[Fashion]
Wooden Spoon,9.99,Amazon2.0\images\woodenspoon.jpg,8,[Kitchen]
Zebra Plush,14.99,Amazon2.0\images\zebraplush.jpg,15,[Toys]
Gaming Headset,149.99,Amazon2.0\images\headset.jpg,7,[Video-games, Tech]
Costco Membership Card,60.00,Amazon2.0\images\costcomembership.jpg,17,[Gift-cards]
Hockey Stick,98.99,Amazon2.0\images\hockeystick.jpg,12,[Sport]
